"activity" "subjectId" "variable" "value"
"laying" 19 "meanFrequencyBodyAccelerationJerkMean-X" -0.48421303958461
"laying" 19 "meanFrequencyBodyAccelerationJerkMean-Y" -0.49177051765
"laying" 19 "meanFrequencyBodyAccelerationJerkMean-Z" -0.596987771010638
"laying" 19 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.475886085932979
"laying" 19 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.460040238390355
"laying" 19 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.656625512764504
"laying" 19 "meanFrequencyBodyAccelerationMagnitudeMean" -0.442152560739255
"laying" 19 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.613439689329787
"laying" 19 "meanFrequencyBodyAccelerationMean-X" -0.477185043103227
"laying" 19 "meanFrequencyBodyAccelerationMean-Y" -0.400042026700426
"laying" 19 "meanFrequencyBodyAccelerationMean-Z" -0.557277430894504
"laying" 19 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.456750917149291
"laying" 19 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.413717522581738
"laying" 19 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.60416090492695
"laying" 19 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.463697247065319
"laying" 19 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.546596600775887
"laying" 19 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.645500585606383
"laying" 19 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.690258655705674
"laying" 19 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.542929656906738
"laying" 19 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.578759700079787
"laying" 19 "meanFrequencyBodyGyroscopeMean-X" -0.436778112799291
"laying" 19 "meanFrequencyBodyGyroscopeMean-Y" -0.547965143065248
"laying" 19 "meanFrequencyBodyGyroscopeMean-Z" -0.500185710441915
"laying" 19 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.579925107574326
"laying" 19 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.561207403280851
"laying" 19 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.617567859386525
"laying" 19 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.462907588320922
"laying" 19 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.496521162673404
"laying" 19 "meanTimeBodyAccelerationJerkMean-X" 0.0779477317570567
"laying" 19 "meanTimeBodyAccelerationJerkMean-Y" 0.01197467159536
"laying" 19 "meanTimeBodyAccelerationJerkMean-Z" -0.00263531556095035
"laying" 19 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.456033263519823
"laying" 19 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.45916968473617
"laying" 19 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.627422831732979
"laying" 19 "meanTimeBodyAccelerationMagnitudeMean" -0.410877683475496
"laying" 19 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.498668963457695
"laying" 19 "meanTimeBodyAccelerationMean-X" 0.268339183113475
"laying" 19 "meanTimeBodyAccelerationMean-Y" -0.0187589558484787
"laying" 19 "meanTimeBodyAccelerationMean-Z" -0.12140415774744
"laying" 19 "meanTimeBodyAccelerationStandardDeviation-X" -0.461518195570603
"laying" 19 "meanTimeBodyAccelerationStandardDeviation-Y" -0.382898728217553
"laying" 19 "meanTimeBodyAccelerationStandardDeviation-Z" -0.563379417093972
"laying" 19 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.598923600520567
"laying" 19 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.653554118557801
"laying" 19 "meanTimeBodyGyroscopeJerkMean-X" -0.0869042168156028
"laying" 19 "meanTimeBodyGyroscopeJerkMean-Y" -0.0374993264437234
"laying" 19 "meanTimeBodyGyroscopeJerkMean-Z" -0.0572815080969149
"laying" 19 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.518143683504965
"laying" 19 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.653111328633333
"laying" 19 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.604108473047411
"laying" 19 "meanTimeBodyGyroscopeMagnitudeMean" -0.436124386587234
"laying" 19 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.512127771264184
"laying" 19 "meanTimeBodyGyroscopeMean-X" -0.0426130632166468
"laying" 19 "meanTimeBodyGyroscopeMean-Y" -0.0687555371432624
"laying" 19 "meanTimeBodyGyroscopeMean-Z" 0.089144878148227
"laying" 19 "meanTimeBodyGyroscopeStandardDeviation-X" -0.544103884670922
"laying" 19 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.552569791211738
"laying" 19 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.555552530206028
"laying" 19 "meanTimeGravityAccelerationMagnitudeMean" -0.410877683475496
"laying" 19 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.498668963457695
"laying" 19 "meanTimeGravityAccelerationMean-X" 0.396641053120567
"laying" 19 "meanTimeGravityAccelerationMean-Y" 0.117385170141844
"laying" 19 "meanTimeGravityAccelerationMean-Z" 0.205164116944078
"laying" 19 "meanTimeGravityAccelerationStandardDeviation-X" -0.952134253546099
"laying" 19 "meanTimeGravityAccelerationStandardDeviation-Y" -0.955034903368794
"laying" 19 "meanTimeGravityAccelerationStandardDeviation-Z" -0.935134902021277
"laying" 21 "meanFrequencyBodyAccelerationJerkMean-X" -0.71641413145049
"laying" 21 "meanFrequencyBodyAccelerationJerkMean-Y" -0.678615118728922
"laying" 21 "meanFrequencyBodyAccelerationJerkMean-Z" -0.767351986555392
"laying" 21 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.709800728388235
"laying" 21 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.674102360655147
"laying" 21 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.794922813673627
"laying" 21 "meanFrequencyBodyAccelerationMagnitudeMean" -0.658664719514706
"laying" 21 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.714345739215931
"laying" 21 "meanFrequencyBodyAccelerationMean-X" -0.693486097144118
"laying" 21 "meanFrequencyBodyAccelerationMean-Y" -0.59377821414902
"laying" 21 "meanFrequencyBodyAccelerationMean-Z" -0.707713799021814
"laying" 21 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.665349663426471
"laying" 21 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.578748586831863
"laying" 21 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.675588192778676
"laying" 21 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.679742584809363
"laying" 21 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.683725127418382
"laying" 21 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.826275026053922
"laying" 21 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.834949863259804
"laying" 21 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.776473060171569
"laying" 21 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.793158526279412
"laying" 21 "meanFrequencyBodyGyroscopeMean-X" -0.752040828651961
"laying" 21 "meanFrequencyBodyGyroscopeMean-Y" -0.759325714811275
"laying" 21 "meanFrequencyBodyGyroscopeMean-Z" -0.709471420465686
"laying" 21 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.811026710110294
"laying" 21 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.771388318823529
"laying" 21 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.728319304730637
"laying" 21 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.703461275879657
"laying" 21 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.680069218953922
"laying" 21 "meanTimeBodyAccelerationJerkMean-X" 0.0822207874776961
"laying" 21 "meanTimeBodyAccelerationJerkMean-Y" 0.00350107553584853
"laying" 21 "meanTimeBodyAccelerationJerkMean-Z" -0.010659072671299
"laying" 21 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.699763344205784
"laying" 21 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.66515912310562
"laying" 21 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.78182390148299
"laying" 21 "meanTimeBodyAccelerationMagnitudeMean" -0.620309259553676
"laying" 21 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.6601960145
"laying" 21 "meanTimeBodyAccelerationMean-X" 0.277466525522059
"laying" 21 "meanTimeBodyAccelerationMean-Y" -0.0176664578561765
"laying" 21 "meanTimeBodyAccelerationMean-Z" -0.10877848058848
"laying" 21 "meanTimeBodyAccelerationStandardDeviation-X" -0.672323867377451
"laying" 21 "meanTimeBodyAccelerationStandardDeviation-Y" -0.565585190336299
"laying" 21 "meanTimeBodyAccelerationStandardDeviation-Z" -0.669621813176471
"laying" 21 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.807817403137255
"laying" 21 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.82408989995098
"laying" 21 "meanTimeBodyGyroscopeJerkMean-X" -0.100558317889216
"laying" 21 "meanTimeBodyGyroscopeJerkMean-Y" -0.0408236141863333
"laying" 21 "meanTimeBodyGyroscopeJerkMean-Z" -0.0533861046416422
"laying" 21 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.792483156720588
"laying" 21 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.815859336004902
"laying" 21 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.812017312181373
"laying" 21 "meanTimeBodyGyroscopeMagnitudeMean" -0.693779224517157
"laying" 21 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.761303119652451
"laying" 21 "meanTimeBodyGyroscopeMean-X" -0.0276346639303578
"laying" 21 "meanTimeBodyGyroscopeMean-Y" -0.0784719736838971
"laying" 21 "meanTimeBodyGyroscopeMean-Z" 0.0861212668362745
"laying" 21 "meanTimeBodyGyroscopeStandardDeviation-X" -0.79617228689951
"laying" 21 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.765057760637255
"laying" 21 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.701642028499559
"laying" 21 "meanTimeGravityAccelerationMagnitudeMean" -0.620309259553676
"laying" 21 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.6601960145
"laying" 21 "meanTimeGravityAccelerationMean-X" 0.645775957808824
"laying" 21 "meanTimeGravityAccelerationMean-Y" -0.0750963071446078
"laying" 21 "meanTimeGravityAccelerationMean-Z" 0.0321851774362745
"laying" 21 "meanTimeGravityAccelerationStandardDeviation-X" -0.965586634460784
"laying" 21 "meanTimeGravityAccelerationStandardDeviation-Y" -0.969330818455882
"laying" 21 "meanTimeGravityAccelerationStandardDeviation-Z" -0.953093993308823
"laying" 22 "meanFrequencyBodyAccelerationJerkMean-X" -0.60425320237352
"laying" 22 "meanFrequencyBodyAccelerationJerkMean-Y" -0.574318114038941
